column_name,question_short_es,question_short_en,question_es,question_en,category_short_en,category_short_es,responses_en,responses_en_rec,responses_es,question_en_comp
pn4,Satisfacción con la democracia,Satisfaction with Democracy,"En general, ¿usted diría que está muy satisfecho(a), satisfecho(a), insatisfecho(a) o muy insatisfecho(a) con la forma en que la democracia funciona en [país]?","In general, would you say that you are very satisfied, satisfied, dissatisfied or very dissatisfied with the way democracy works in (country)?",Democratic Support,Apoyo democrático,(1) Very satisfied (2) Satisfied (3) Dissatisfied (4) Very dissatisfied,(1) Very dissatisfied (2) Dissatisfied (3) Satisfied (4) Very satisfied,,"In general, would you say that you are very satisfied, satisfied, dissatisfied or very dissatisfied with the way democracy works in (country)? (1) Very dissatisfied (2) Dissatisfied (3) Satisfied (4) Very satisfied"
pol1,Interés en la política,Political Interest,¿Qué tanto interés tiene usted en la política?,How much interest do you have in politics?,Civic Engagement,Participación cívica,(1) A lot (2) Some (3) Little (4) None,(1) None (2) Little (3) Some (4) A lot,,How much interest do you have in politics? (1) None (2) Little (3) Some (4) A lot
q10a,Recibe remesas,Receives Remittances,"¿Usted o alguien que vive en su casa recibe remesas, es decir, ayuda económica del exterior?","Do you or someone else living in your household receive remittances, that is, economic assistance from abroad?",Migration,Migración,(1) Yes (2) No,(1) No (2) Yes,,"Do you or someone else living in your household receive remittances, that is, economic assistance from abroad? (1) No (2) Yes"
q10e,Ingreso del hogar en los últimos dos años,Household Income Over Last Two Years,"En los últimos dos años, el ingreso de su hogar","Over the past two years, has the income of your household",Economy,Economía,(1) Increased? (2) Remained the same? (3) Decreased?,(1) Decreased? (2) Remained the same? (3) Increased?,,"Over the past two years, has the income of your household (1) Decreased? (2) Remained the same? (3) Increased?"
q14,Intenciones de vivir o trabajar en otro país,Intends to Live or Work Abroad,¿Tiene usted intenciones de irse a vivir o a trabajar a otro país en los próximos tres años?,Do you have any intention of going to live or work in another country in the next three years?,Migration,Migración,(1) Yes (2) No,(1) No (2) Yes,,Do you have any intention of going to live or work in another country in the next three years? (1) No (2) Yes
q5a,Asistencia a servicios religiosos,Attendance at Religious Services,¿Con qué frecuencia asiste usted a servicios religiosos?,How often do you attend religious services?,Beliefs,Creencias,(1) More than once per week (2) Once per week (3) Once a month (4) Once or twice a year (5) Never or almost never,(1) Never or almost never (2) Once or twice a year (3) Once a month (4) Once per week (5) More than once per week,,How often do you attend religious services? (1) Never or almost never (2) Once or twice a year (3) Once a month (4) Once per week (5) More than once per week
q5b,Importancia de la religión,Importance of Religion,"Por favor, ¿podría decirme, qué tan importante es la religión en su vida?",Could you please tell me how important is religion in your life?,Beliefs,Creencias,(1) Very important (2) Somewhat important (3) Not very important (4) Not at all important,(1) Not at all important  (2) Not very important (3) Somewhat important (4) Very important,,Could you please tell me how important is religion in your life? (1) Not at all important  (2) Not very important (3) Somewhat important (4) Very important
ros4,Estado debe reducir la desigualdad,Government Should Reduce Income Inequality,El Estado [nacionalidad] debe implementar políticas firmes para reducir la desigualdad de ingresos entre ricos y pobres. ¿Hasta qué punto está de acuerdo o en desacuerdo con esta frase?,The [nationality] government should implement strong policies to reduce income inequality between the rich and the poor. To what extent do you agree or disagree with this statement?,Economy,Economía,(1) Strongly disagree (2) (3) (4) (5) (6) (7) Strongly agree,(1) Strongly disagree (2) (3) (4) (5) (6) (7) Strongly agree,,The [nationality] government should implement strong policies to reduce income inequality between the rich and the poor. To what extent do you agree or disagree with this statement? (1) Strongly disagree (2) (3) (4) (5) (6) (7) Strongly agree
sd2new2,Satisfacción con las carreteras,Satisfaction with Roads,"Y pensando en esta ciudad/área donde usted vive, ¿está muy satisfecho(a), satisfecho(a), insatisfecho(a), o muy insatisfecho(a) con el estado de las vías, carreteras y autopistas?","And thinking about this city/area where you live, are you very satisfied, satisfied, dissatisfied, or very dissatisfied with the condition of the streets, roads, and highways?",Local Government,Gobierno local,(1) Very satisfied (2) Satisfied (3) Dissatisfied (4) Very dissatisfied,(1) Very dissatisfied (2) Dissatisfied (3) Satisfied (4) Very satisfied,,"And thinking about this city/area where you live, are you very satisfied, satisfied, dissatisfied, or very dissatisfied with the condition of the streets, roads, and highways? (1) Very dissatisfied (2) Dissatisfied (3) Satisfied (4) Very satisfied"
sd3new2,Satisfacción con las escuelas públicas,Satisfaction with Public Schools,[Y pensando en esta ciudad/área donde usted vive...] ¿Y la calidad de las escuelas públicas? ¿Está usted…,[And thinking about this city/area where you live...]And the quality of public schools? Are you…,Local Government,Gobierno local,(1) Very satisfied (2) Satisfied (3) Dissatisfied (4) Very dissatisfied,(1) Very dissatisfied (2) Dissatisfied (3) Satisfied (4) Very satisfied,,[And thinking about this city/area where you live...]And the quality of public schools? Are you… (1) Very dissatisfied (2) Dissatisfied (3) Satisfied (4) Very satisfied
sd6new2,Satisfacción con los servicios médicos y de salud públicos,Satisfaction with Public Medical and Health Services,[Y pensando en esta ciudad/área donde usted vive...] ¿Y la calidad de los servicios médicos y de salud públicos? ¿Está usted…,[And thinking about this city/area where you live...] And the quality of public medical and health services? Are you…,Local Government,Gobierno local,(1) Very satisfied (2) Satisfied (3) Dissatisfied (4) Very dissatisfied,(1) Very dissatisfied (2) Dissatisfied (3) Satisfied (4) Very satisfied,,[And thinking about this city/area where you live...] And the quality of public medical and health services? Are you… (1) Very dissatisfied (2) Dissatisfied (3) Satisfied (4) Very satisfied
soct2,Evaluación de la economía,Evaluation of the Economy,"¿Considera usted que la situación económica del país es mejor, igual o peor que hace doce meses?","Do you think that the country's current economic situation is better than, the same as or worse than it was 12 months ago?",Economy,Economía,(1) Better (2) Same (3) Worse,(1) Worse (2) Same (3) Better ,,"Do you think that the country's current economic situation is better than, the same as or worse than it was 12 months ago? (1) Worse (2) Same (3) Better "
vb10,Simpatiza con algún partido político,Identifies with a Political Party,"¿En este momento, simpatiza con algún partido político?",Do you currently identify with a political party?,Civic Engagement,Participación cívica,(1) Yes (2) No,(1) No (2) Yes,,Do you currently identify with a political party? (1) No (2) Yes
vb2,Votó en las últimas elecciones presidenciales,Voted in Last Presidential Election,¿Votó usted en [la primera ronda de] las últimas elecciones presidenciales de [año]?,Did you vote in the [first round of the] last presidential elections of [year]?,Civic Engagement,Participación cívica,(1) Voted (2) Did not vote,(1) Did not vote (2) Voted,,Did you vote in the [first round of the] last presidential elections of [year]? (1) Did not vote (2) Voted
vb20,Intención de voto presidencial,Vote Intention for President,"¿Si esta semana fueran las próximas elecciones presidenciales, qué haría usted?","If the next presidential elections were being held this week, what would you do?",Civic Engagement,Participación cívica,(1) Wouldn't vote (2) Would vote for the current (incumbent) candidate or party (3) Would vote for a candidate or party different from the current administration (4) Would go to vote but would leave the ballot/vote/ticket blank or would purposely cancel my vote,,,"If the next presidential elections were being held this week, what would you do? "
vb50,Hombres son mejores líderes políticos que mujeres,Men Are Better Political Leaders than Women,"Algunos dicen que en general, los hombres son mejores líderes políticos que las mujeres. ¿Está usted muy de acuerdo, de acuerdo, en desacuerdo, o muy en desacuerdo?","Some say that in general, men make better political leaders than women. Do you strongly agree, agree , disagree, or strongly disagree?",Gender,Género,(1) Strongly agree (2) Agree (3) Disagree (4) Strongly disagree,(1) Strongly disagree (2) Disagree (3) Agree (4) Strongly agree,,"Some say that in general, men make better political leaders than women. Do you strongly agree, agree , disagree, or strongly disagree? (1) Strongly disagree (2) Disagree (3) Agree (4) Strongly agree"
vic1ext,Víctima de delincuencia,Victim of Crime,"¿Ha sido usted víctima de algún acto de delincuencia en los últimos 12 meses? Es decir, ¿ha sido usted víctima de un robo, hurto, agresión, fraude, chantaje, extorsión, amenazas o algún otro tipo de acto delincuencial en los últimos 12 meses?","Have you been a victim of any type of crime in the past 12 months? That is, have you been a victim of robbery, burglary, assault, fraud, blackmail, extortion, violent threats or any other type of crime in the past 12 months?",Insecurity,Inseguridad,(1) Yes (2) No,(1) No (2) Yes,,"Have you been a victim of any type of crime in the past 12 months? That is, have you been a victim of robbery, burglary, assault, fraud, blackmail, extortion, violent threats or any other type of crime in the past 12 months? (1) No (2) Yes"
w14a,Justificación del aborto,Abortion Justified,"Y ahora, pensando en otros temas. ¿Cree usted que se justificaría la interrupción del embarazo, o sea, un aborto, cuando peligra la salud de la madre?","And now, thinking about other topics. Do you think it's justified to interrupt a pregnancy, that is, to have an abortion, when the mother's health is in danger?",Gender,Género,"(1) Yes, justified (2) No, not justified","(1) No, not justified  (2) Yes, justified",,"And now, thinking about other topics. Do you think it's justified to interrupt a pregnancy, that is, to have an abortion, when the mother's health is in danger? (1) No, not justified  (2) Yes, justified"
wf1,Recibe asistencia del gobierno,Receives Government Assistance,"¿Usted o alguien en su casa recibe ayuda (regular/periódica) en dinero, alimento o en productos de parte del gobierno, sin contar las pensiones?","Do you or someone in your household (regularly) receive assistance in the form of money, food, or products from the government, not including pensions/social security?",Economy,Economía,(1) Yes (2) No,(1) No (2) Yes,,"Do you or someone in your household (regularly) receive assistance in the form of money, food, or products from the government, not including pensions/social security? (1) No (2) Yes"
